lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	74772	67.89	2:39:43.423033	2:03:55.700139	66.2	0.8351
0.1	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	63044	68.95	2:40:19.860086	2:04:25.111566	67.85	0.897
0.1	0.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	77922	68.11	2:40:51.531698	2:04:40.873996	66.07	1.0835
0.1	0.7	0.1	300	200	64	0.05	0.9	0.0005	1.0	173329	63.62	2:48:24.266693	2:10:33.126835	61.5	1.4291
0.1	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	205348	59.74	2:47:41.863085	2:08:58.982798	56.81	1.7461
0.1	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	230836	55.34	2:37:41.898641	2:02:13.013383	48.09	1.8938
0.01	0.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	67.62	2:35:51.779619	2:01:54.142857	67.16	0.5168
0.01	0.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	0	68.25	2:36:28.511010	2:02:01.872486	67.65	0.6237
0.01	0.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	0	68.33	2:42:08.511238	2:05:17.958936	67.95	0.7308
0.01	0.7	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.14	2:41:56.941222	2:04:18.195487	67.85	0.6406
0.01	0.7	0.1	300	200	64	0.05	0.9	0.0005	1.0	578	68.2	2:44:31.350707	2:07:26.420212	67.94	0.8323
0.01	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	4046	68.79	2:35:12.145248	2:01:13.900225	68.27	1.0256
0.01	1.0	0.0001	300	200	64	0.05	0.9	0.0005	1.0	5770	68.3	2:48:09.394851	2:10:32.206856	68.1	0.7876
0.01	1.0	0.001	300	200	64	0.05	0.9	0.0005	1.0	1154	68.9	2:44:58.764633	2:07:54.733213	68.58	0.781
0.01	1.0	0.005	300	200	64	0.05	0.9	0.0005	1.0	2308	69.24	2:48:52.049975	2:11:25.113605	68.93	0.7908
0.01	1.0	0.01	300	200	64	0.05	0.9	0.0005	1.0	1154	68.88	2:43:39.394861	2:07:18.433496	68.33	0.8143
0.01	1.0	0.1	300	200	64	0.05	0.9	0.0005	1.0	5202	69.58	2:42:51.361960	2:06:12.483903	69.16	0.99
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	31808	68.91	2:40:24.068037	2:04:07.865976	68.57	1.212
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	26396	68.12	2:42:34.466963	2:06:00.022350	67.76	1.2305
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	27827	68.59	2:39:33.151279	2:03:39.994960	68.09	1.239
0.01	1.3	0.0001	300	200	64	0.05	0.9	0.0005	1.0	13848	68.92	2:48:48.206833	2:11:12.338349	68.57	0.8668
0.01	1.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	11542	68.55	2:44:15.091012	2:07:11.798298	68.06	0.8621
0.01	1.3	0.005	300	200	64	0.05	0.9	0.0005	1.0	8078	68.26	2:46:00.232338	2:08:53.741219	67.96	0.8766
0.01	1.3	0.01	300	200	64	0.05	0.9	0.0005	1.0	13848	68.64	2:44:30.769863	2:07:17.239681	68.22	0.9052
0.01	1.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	33168	68.88	2:43:23.103755	2:07:02.661107	68.5	1.1213
0.01	1.3	0.5	300	200	64	0.05	0.9	0.0005	1.0	102944	67.53	2:44:54.576710	2:07:49.787484	67.34	1.3997
0.01	1.6	0.0001	300	200	64	0.05	0.9	0.0005	1.0	39816	67.94	2:46:37.749954	2:09:24.103982	67.55	0.9725
0.01	1.6	0.001	300	200	64	0.05	0.9	0.0005	1.0	36354	68.09	2:43:22.970744	2:06:10.934116	67.82	0.9689
0.01	1.6	0.005	300	200	64	0.05	0.9	0.0005	1.0	29430	68.14	2:48:14.115595	2:10:45.554980	67.98	0.9782
0.01	1.6	0.1	300	200	64	0.05	0.9	0.0005	1.0	68290	68.32	2:39:44.449060	2:03:34.681379	68.09	1.2383
0.01	1.6	0.5	300	200	64	0.05	0.9	0.0005	1.0	110529	66.43	2:40:19.841447	2:04:26.444446	66.07	1.5009
0.01	1.9	0.0001	300	200	64	0.05	0.9	0.0005	1.0	60931	68.06	2:46:32.529027	2:08:40.892094	67.48	1.0613
0.01	1.9	0.001	300	200	64	0.05	0.9	0.0005	1.0	65982	68.11	2:38:57.082383	2:03:05.445076	67.48	1.0836
0.01	1.9	0.005	300	200	64	0.05	0.9	0.0005	1.0	51197	68.34	2:46:54.882321	2:09:08.083993	68.08	1.0736
0.01	1.9	0.01	300	200	64	0.05	0.9	0.0005	1.0	69264	68.03	2:38:50.709579	2:02:55.804219	67.59	1.1249
0.01	1.9	0.1	300	200	64	0.05	0.9	0.0005	1.0	90271	67.44	2:39:44.581154	2:03:56.066827	67.14	1.3443
0.01	1.9	0.5	300	200	64	0.05	0.9	0.0005	1.0	135908	64.55	2:44:29.918725	2:07:16.084381	64.43	1.6104
0.01	1.9	0.5	300	200	64	0.05	0.9	0.0005	1.0	141057	64.71	2:37:16.447136	2:01:32.245923	63.85	1.6617
