lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.1	1.4	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.78	20703523	5:31:38.172046	4:01:12.941322	94.6	0.1158
0.1	1.4	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.55	20737874	5:26:08.730593	3:55:34.210140	94.21	0.1091
0.1	1.4	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.9	20428879	5:31:53.681396	4:01:10.167864	94.59	0.0989
0.1	1.6	0.001	300	200	128	0.0001	0.9	0.0005	1.0	94.67	21011427	5:31:36.237674	4:01:06.179621	94.36	0.1196
0.1	1.6	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.44	21008880	5:31:36.335721	4:01:02.086586	94.2	0.12
0.1	1.6	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.26	20838014	5:27:05.203359	3:56:40.405784	93.9	0.1118
0.1	1.6	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.79	20196101	5:26:42.150787	3:56:01.717852	94.59	0.1076
0.1	1.8	0.0001	300	200	128	0.0001	0.9	0.0005	1.0	94.8	21041527	5:23:35.038657	3:54:54.676079	94.43	0.1221
0.1	1.8	0.001	300	200	128	0.0001	0.9	0.0005	1.0	93.9	21440897	5:26:15.913969	3:55:48.828952	93.61	0.1103
0.1	1.8	0.01	300	200	128	0.0001	0.9	0.0005	1.0	93.92	21123309	5:31:03.353950	4:00:46.271552	93.66	0.1382
0.1	1.8	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.57	20990533	5:26:20.918976	3:55:54.172442	94.49	0.1196
0.1	1.8	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.62	20500899	5:31:37.164123	4:01:03.309219	94.28	0.1201
0.1	1.8	1e-05	300	200	128	0.0001	0.9	0.0005	1.0	94.06	21030802	5:23:11.249146	3:54:38.565618	94.08	0.1341
0.1	2.0	0.001	300	200	128	0.0001	0.9	0.0005	1.0	94.73	21332414	5:25:16.335621	3:55:10.148805	94.29	0.1348
0.1	2.0	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.47	21281005	5:29:51.192643	3:59:38.894697	94.22	0.131
0.1	2.0	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.49	21263833	5:20:44.266022	3:51:20.269506	94.23	0.1318
0.1	2.0	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.43	21127220	5:20:47.324020	3:51:19.624701	94.16	0.1181
0.1	2.2	0.001	300	200	128	0.0001	0.9	0.0005	1.0	94.11	21462149	5:18:32.662393	3:49:52.142794	93.8	0.1508
0.1	2.2	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.3	21636397	5:18:20.403843	3:49:43.863065	94.07	0.1232
0.1	2.2	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.17	21566667	5:18:12.145320	3:49:36.747067	93.78	0.1262
0.1	2.2	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.78	21179191	5:18:23.532967	3:49:43.693312	94.46	0.1197
0.1	2.2	0.6	300	200	128	0.0001	0.9	0.0005	1.0	94.67	20997165	5:27:00.332588	3:57:49.911170	94.39	0.0986
0.1	2.2	1e-06	300	200	128	0.0001	0.9	0.0005	1.0	94.13	21611437	5:26:57.568579	3:57:54.389911	93.85	0.1294
0.1	2.5	0.001	300	200	128	0.0001	0.9	0.0005	1.0	93.79	21417743	5:25:38.152229	3:56:32.055036	93.38	0.1562
0.1	2.5	0.01	300	200	128	0.0001	0.9	0.0005	1.0	94.29	21575587	5:25:52.940833	3:56:55.094276	93.92	0.1452
0.1	2.5	0.1	300	200	128	0.0001	0.9	0.0005	1.0	94.17	21578824	5:26:27.387237	3:57:26.359564	93.87	0.1405
0.1	2.5	0.3	300	200	128	0.0001	0.9	0.0005	1.0	94.1	21537042	5:25:29.002560	3:56:29.858186	93.83	0.1208
0.1	2.5	0.6	300	200	128	0.0001	0.9	0.0005	1.0	94.71	20710051	5:27:12.055671	3:58:10.773758	94.46	0.1166
0.1	2.5	1e-06	300	200	128	0.0001	0.9	0.0005	1.0	94.24	21626898	5:27:35.732673	3:58:28.396193	94.1	0.1456
0.1	2.8	0.001	300	200	128	0.0001	0.9	0.0005	1.0	93.72	21964741	5:19:33.849366	3:50:43.932996	93.17	0.1501
0.1	2.8	0.01	300	200	128	0.0001	0.9	0.0005	1.0	93.61	21914821	5:19:42.185073	3:50:55.822301	93.33	0.1526
0.1	2.8	0.1	300	200	128	0.0001	0.9	0.0005	1.0	93.82	21758293	5:19:27.498762	3:50:38.094504	93.43	0.148
0.1	2.8	0.3	300	200	128	0.0001	0.9	0.0005	1.0	93.99	21803477	5:20:14.677850	3:51:13.589752	93.83	0.1209
